,List Of Phones and Tablets,Prices
0,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 60.45
1,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 28.00
2,Tripod Mobile phone Camera Foldable Stand Holder Table Smartphone Tripod,GH₵ 29.00
3,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00
4,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 52.80
5,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 62.00
6,P47 Wireless Headset - White,GH₵ 29.47
7,Universal Adjustable Desktop Tablet Stands Phone Holder bracket for ipad phone tablet stand mount,GH₵ 16.74
8,C3 Bluetooth 5.0 Wireless Headsets 10D Stereo Headphones With LED sports Earphone PRO3,GH₵ 32.00
9,TWS Wireless Bluetooth Earphones - White,GH₵ 38.80
10,P47 Wireless Foldable Bluetooth Headset - Black,GH₵ 33.00
11,Smart Bluetooth watches for ios and Android bands,GH₵ 30.00
12,"Wireless Bluetooth Earphone For iPhone, Samsung Pods - Black",GH₵ 34.00
13,Wireless Bluetooth Earphone For iPhone Samsung Pods - White,GH₵ 33.00
14,Lenovo XT90 BT5.0 True Wireless Headsets In-ear Sweatproof white,GH₵ 55.00
15,Wireless Bluetooth Earphones - White,GH₵ 45.00
16,TWS Air Pro 6 Bluetooth Earphone Earbuds HiFi Stereo Touch Sensor Control Mic For Android & IOS,GH₵ 58.00
17,F9-32 Stereo V5.1 Bluetooth Earphone Power Banks,GH₵ 51.00
18,IOOIOO Micro SD Memory Card - 32GB - Black,GH₵ 19.00
19,Lenovo TC02 Wireless Bluetooth Headset Similar To Xiaomi Aird Ots,GH₵ 87.00
20,New I5 Smartwatch - Pink,GH₵ 47.00
21,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 251.00
22,Wireless Bluetooth 5.0 Waterproof Headphones - Black,GH₵ 43.00
23,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 542.71
24,M11 T-WS LCD Bluetooth 5.0 Wireless Headphones - Black,GH₵ 64.17
25,Lenovo HE01 BT 5.0 Neckband Wireless Earphones Waterproof w/MIC Line Control,GH₵ 20.46
26,Heart Rate Sport Bracelet Smart Watch - Black,GH₵ 32.00
27,V9 Earhook Wireless Bluetooth Earphone CSR Noise Cancelling Earpiece Headset Portable,GH₵ 34.00
28,116 Plus Waterproof Smart Watch - Black,GH₵ 31.00
29,Bluetooth Wireless  Headphone Stereo In-ear Headphone LED digital display,GH₵ 41.00
30,Smart Watch With Camera & SIM Card Slot - Black,GH₵ 65.00
31,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 35.00
32,Wireless Bluetooth Headset 2000mAh - Black,GH₵ 69.75
33,TWS i12Tws Wireless Bluetooth 5.0 Sport Headset - White,GH₵ 32.98
34,Color screen smart watch heart rate sport bracelet,GH₵ 33.00
35,Pro 6 Bluetooth Earphone - White,GH₵ 49.00
36,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black,GH₵ 383.04
37,Bluetooth 5.0 Earphones 2200mAh Wireless Headphone,GH₵ 39.99
38,"GT20 1.69 inch TFT Screen IP67 Waterproof Smart Watch, Style:Steel Strap(Black)",GH₵ 121.00
39,2Pcs Portable Speaker High-Volume Subwoofer USB-Black,GH₵ 35.00
